"","x"
"787","ENSSSCG00000000241"
"788","ENSSSCG00000000248"
"789","ENSSSCG00000000249"
"790","ENSSSCG00000000250"
"791","ENSSSCG00000000252"
"792","ENSSSCG00000000359"
"793","ENSSSCG00000000577"
"794","ENSSSCG00000000679"
"795","ENSSSCG00000000704"
"796","ENSSSCG00000000706"
"797","ENSSSCG00000000807"
"798","ENSSSCG00000000906"
"799","ENSSSCG00000000937"
"800","ENSSSCG00000001098"
"801","ENSSSCG00000001479"
"802","ENSSSCG00000001487"
"803","ENSSSCG00000001616"
"804","ENSSSCG00000001726"
"805","ENSSSCG00000001760"
"806","ENSSSCG00000001806"
"807","ENSSSCG00000001848"
"808","ENSSSCG00000001906"
"809","ENSSSCG00000001914"
"810","ENSSSCG00000002014"
"811","ENSSSCG00000002039"
"812","ENSSSCG00000002648"
"813","ENSSSCG00000002720"
"814","ENSSSCG00000002803"
"815","ENSSSCG00000002806"
"816","ENSSSCG00000002882"
"817","ENSSSCG00000002910"
"818","ENSSSCG00000002929"
"819","ENSSSCG00000002967"
"820","ENSSSCG00000002986"
"821","ENSSSCG00000003108"
"822","ENSSSCG00000003201"
"823","ENSSSCG00000003212"
"824","ENSSSCG00000003225"
"825","ENSSSCG00000003333"
"826","ENSSSCG00000003368"
"827","ENSSSCG00000003386"
"828","ENSSSCG00000003482"
"829","ENSSSCG00000003566"
"830","ENSSSCG00000003798"
"831","ENSSSCG00000003812"
"832","ENSSSCG00000004573"
"833","ENSSSCG00000004760"
"834","ENSSSCG00000004781"
"835","ENSSSCG00000005369"
"836","ENSSSCG00000005518"
"837","ENSSSCG00000005588"
"838","ENSSSCG00000005625"
"839","ENSSSCG00000006185"
"840","ENSSSCG00000006399"
"841","ENSSSCG00000006525"
"842","ENSSSCG00000006579"
"843","ENSSSCG00000006643"
"844","ENSSSCG00000006890"
"845","ENSSSCG00000006893"
"846","ENSSSCG00000007305"
"847","ENSSSCG00000007424"
"848","ENSSSCG00000007501"
"849","ENSSSCG00000007508"
"850","ENSSSCG00000007515"
"851","ENSSSCG00000007665"
"852","ENSSSCG00000007774"
"853","ENSSSCG00000007805"
"854","ENSSSCG00000007968"
"855","ENSSSCG00000007975"
"856","ENSSSCG00000007989"
"857","ENSSSCG00000008004"
"858","ENSSSCG00000008013"
"859","ENSSSCG00000008014"
"860","ENSSSCG00000008021"
"861","ENSSSCG00000008162"
"862","ENSSSCG00000008574"
"863","ENSSSCG00000008613"
"864","ENSSSCG00000008682"
"865","ENSSSCG00000008714"
"866","ENSSSCG00000008804"
"867","ENSSSCG00000008898"
"868","ENSSSCG00000008976"
"869","ENSSSCG00000009209"
"870","ENSSSCG00000009385"
"871","ENSSSCG00000009485"
"872","ENSSSCG00000009558"
